iteration,sa_random_best,sa_greedy_best
500,167570,173958
1000,169715,173958
1500,169715,173958
2000,171106,173958
2500,171106,173958
3000,171382,173958
3500,171478,173958
4000,171731,173958
4500,171882,173958
5000,171906,173958
5500,171937,173958
6000,171993,173958
6500,172032,173958
7000,172055,173958
7500,172059,173958
8000,172059,173958
8500,172084,173958
9000,172084,173958
9500,172095,173958
10000,172107,173958
10500,172107,173958
11000,172107,173958
11500,172107,173958
12000,172108,173958
12500,172108,173958
13000,172121,173958
13500,172121,173958
14000,172121,173958
14500,172129,173958
15000,172148,173958
15500,172148,173958
16000,172148,173958
16500,172148,173958
17000,172148,173958
17500,172148,173958
18000,172148,173958
18500,172148,173958
19000,172148,173958
19500,172148,173958
20000,172148,173958
20500,172148,173958
21000,172148,173958
21500,172148,173958
22000,172148,173958
22500,172148,173958
23000,172160,173958
23500,172160,173958
24000,172160,173958
24500,172160,173958
25000,172160,173958
25500,172160,173958
26000,172160,173958
26500,172160,173958
27000,172163,173958
27500,172163,173958
28000,172179,173958
28500,172179,173958
29000,172179,173958
29500,172179,173958
30000,172179,173958
30500,172179,173958
31000,172179,173958
31500,172179,173958
32000,172179,173958
32500,172179,173958
33000,172179,173958
33500,172179,173958
34000,172179,173958
34500,172179,173958
35000,172179,173958
35500,172179,173958
36000,172179,173958
36500,172179,173958
37000,172179,173958
37500,172179,173958
38000,172179,173958
38500,172179,173958
39000,172179,173958
39500,172179,173958
40000,172179,173958
40500,172179,173958
41000,172179,173958
41500,172179,173958
42000,172179,173958
42500,172179,173958
43000,172179,173958
43500,172179,173958
44000,172179,173958
44500,172179,173958
45000,172179,173958
45500,172179,173958
46000,172179,173958
46500,172179,173958
47000,172179,173958
47500,172179,173958
48000,172179,173958
48500,172179,173958
49000,172179,173958
49500,172179,173958
50000,172179,173958
